rainfall_mm,temperature_c,humidity_pct,pressure_hpa,wind_speed_ms,soil_moisture_pct,elevation_m,slope_deg,vegetation_index,drainage_density,distance_to_river_km,antecedent_rainfall_mm,risk_class
23.1,30.3,91.2,1001.3,14.8,33.5,608,30.3,0.637,1.63,3.28,154.2,Medium
64.6,31.1,81.6,1001.1,9.5,44.7,454,21.6,0.66,2.82,3.13,260.5,Medium
58.7,26.6,63.3,1021,3.2,65.3,481,4.9,0.399,2.78,5.14,44.5,Low
31.5,32.7,91.5,1005.1,4.7,32,524,13.4,0.889,4.18,5.98,83.1,Low
8.6,33,61.8,1016.5,12.3,48.7,953,19,0.813,1.57,4.65,140.1,Low
97,22.4,87.9,1005,11.8,51.9,322,11.8,0.547,2.81,10,28.1,Medium
0,29,64.7,1004.6,7.3,43,280,24.5,0.539,3.17,5.08,208.9,Medium
0,23.3,58.1,1004.9,3.9,44.7,699,0,0.365,6.17,11.97,19.2,Low
45.5,39,73.7,999.8,1.8,46.2,57,22.2,0.454,2.43,4.74,78.8,Medium
11.1,40.1,57.8,1016.9,15.1,30.4,308,20.7,0.627,1.72,5.92,181,Low
66.4,22.4,52.1,1003,6.5,55.8,572,1.1,0.61,3.94,8.89,129.2,Medium
60.2,31.6,71.9,1021,10.9,57.5,136,0,0.736,3.3,0.1,2.2,Medium
122.8,24.9,52.8,1020.8,6.2,34.4,307,23.9,0.45,4.28,2.41,143.9,Medium
27.8,32,82.7,1000.8,19.1,62.7,560,38.9,0.397,0.17,1,72.6,High
74.8,30.1,56,1008.1,5.1,43,0,5.5,0.021,3.31,1.33,0,Low
5.7,35.3,89.1,1029.7,13.1,62.5,529,0,0.486,0.33,5.71,137.6,Medium
23.2,28.4,86.9,978.9,10.2,48,606,2.6,1,0.98,10.15,72.7,Medium
66.6,29.6,89.4,1001.3,4.9,42.5,0,0,0.467,3.43,0.2,30.5,Medium
13.2,24.9,95.2,1030,5.4,72.9,295,30,0.427,3.31,5.8,54.7,Medium
46.1,25.7,70.2,1019,8.4,37.1,391,13.7,0.838,2.78,2.02,0,Low
3.3,20.4,70,1027.2,7.3,94,544,33.3,0.409,3,0.1,109,Medium
0,20.3,87.6,1020.1,4.4,45.6,376,9.4,0.465,3.69,6.37,78.3,Low
0,23,58.2,1008.4,7.8,35.6,832,12.1,0.44,4.59,1.12,55.1,Low
13.4,38.5,74.4,999.8,3.6,62,421,8.1,0.205,2.84,4.47,72.4,Low
85,30.5,74.2,1030.9,18.2,25,861,22.1,0.776,2.77,7.33,0,Medium
57.6,35.2,55.5,1006.9,0,61.5,808,0,0.21,3.13,12.53,95.2,Low
0,28,81.7,1007.7,4.9,32.6,437,41.4,0.896,4.6,7.69,141.7,Medium
0,29.3,56.8,1004.6,14.8,66.3,235,4.4,0.216,4.26,5.43,52.2,Low
47.9,18.7,57.4,1007.5,0,36.4,704,24.7,0.508,3.48,8.42,36.1,Low
83.2,24.7,85.4,1002.1,6.9,51.2,216,28,0.567,4.57,0.1,62.8,High
40,13.1,71,1009.6,4.6,35.2,612,20.3,0.324,2.34,3.84,84.8,Medium
69,24.5,99,1028.2,5.8,60.9,0,0,0.606,5.29,11.1,150.9,Medium
29.2,13.6,57.5,1006.6,11,59.7,1039,0,0.3,2.9,7.61,103.5,Low
21.9,17.3,89.9,1021,4.7,37.4,3,0,0.631,3.92,1.34,52.6,Low
82.6,23.2,50,1009.6,10.3,34.2,112,21.7,0.709,1.46,4.04,0,Medium
50.1,37.2,34.5,1015.4,10.7,53.1,331,21.8,0,2.09,0.1,7.5,Medium
33.9,23.1,73,1012,10.8,49.4,114,30.8,0.01,3.46,14.05,123.3,Medium
27.7,23,52.8,1001,7.6,60.3,719,13.5,0.384,2.05,3.72,105,Low
95.6,30,58.5,1009.8,5.6,33.4,353,15.7,0.532,5.4,2.85,5.9,Low
103.9,29.8,65.3,1003.5,9.4,60.6,171,7,0.525,4.69,7.16,11.3,Medium
69.6,14.2,85,1015.4,3.2,40.2,314,9,0.65,2.11,5.34,70,Low
76.7,30.5,82.3,1014.5,5.6,61.5,336,18,0.401,4.19,9.65,145.2,Medium
18,26.5,88,1008.2,5.1,19.7,605,26.2,0.475,3.71,8.5,97.6,Medium
71,27.9,62.3,1009,12.4,54.5,232,11.7,0.57,5.31,4.27,122,Medium
54.9,29,96.7,1011.9,4.1,65.7,49,12.6,0.312,3.83,0.11,118.1,Medium
71.8,35.5,96.3,1014.4,9.4,44.3,235,0,0.461,4.01,5.91,21.8,Medium
46.9,13.5,54.4,974.9,12.4,46.8,342,28.7,0.428,3.25,7.68,42.8,Medium
14,21,44.5,1010.8,6.6,54.4,0,12.7,0.41,1.45,9.46,38.5,Low
13.3,29.3,77.6,1017.9,6.6,44.6,449,5.5,0.787,2.25,3.21,73.6,Low
75.5,28.3,96,1011.6,5.8,60.6,453,13.6,0.701,3.29,1.57,55.9,Medium
0,15,65.4,1010.4,2.7,60.8,537,0,0.59,2.98,0.1,76.2,Low
22.7,11.5,66.5,1007.1,3.4,44.9,346,16.8,0.321,3.97,7.59,81.5,Low
0,36,87.6,1013.6,10.5,41.3,230,26,0.453,2.88,5.51,175.6,Medium
95.4,41.8,93.5,984,10.9,36.7,584,11.2,0.316,3.08,6.89,33.9,Medium
13.1,21.8,92.4,1012.8,11.1,66.7,577,19.7,0.164,1.86,10.6,34.9,Low
73.4,24.5,63.8,1012.6,2.9,49.6,722,17.4,0.678,3.51,0.73,49.2,Medium
10.3,25.3,89.3,1021.1,9,38.5,422,20.8,0.362,1.63,2.83,29.2,Low
106.3,39.5,53.5,1002.6,11,24.2,745,13.8,0.323,1.75,8.42,121.5,Medium
40.6,18.2,52.4,1017.9,0,71.6,355,50,0.755,3.22,6.41,65.6,Medium
28.7,35,80,1004.8,12.1,32.7,573,0,0.504,2.99,12.35,67.3,Medium
46.3,29.7,90.7,1003.5,8.2,41.7,508,17.7,0.55,2.73,6.31,67.1,Medium
93.4,40.8,37.1,992.6,12.9,5,69,33.8,0.367,2.03,4.41,0,Medium
93.1,34.3,75,1007.4,7.2,74.6,610,20.6,0.443,2.73,4.13,146.7,High
75,21.6,69.5,1007.6,4.1,17.2,151,14.8,0.551,1.84,6,164.7,Low
0,15.3,52.5,1002.9,14.5,35.8,284,16.3,0.228,6.63,0.66,134.9,Medium
0,22.2,61.5,1016.7,4.5,48,630,3.4,0.305,0.34,4.81,0,Low
49,28.6,53.3,996,5.9,92.7,422,29.2,0.594,3.35,7.85,71.2,Medium
0,34.3,82.8,996.8,8.2,31.4,1071,21.7,0.894,6.89,4.65,0,Low
40.3,19.1,71.9,1012.6,0,56,137,17.7,0.422,3.83,0.4,96.3,Medium
66.2,46.7,60.8,1005.6,10.5,20.7,0,19.5,0.282,3.31,0.62,119.1,Medium
17.7,28.2,68.8,1010.3,5.8,26,281,11.9,0.453,3.3,4.14,37.2,Low
5.3,41.8,89.9,1014.2,16.4,56,240,27.5,0.587,0.9,6.16,107.2,Medium
68,9.6,43.5,1025.5,0,36.6,930,7.3,0.504,4.18,0.44,163.5,Medium
56.1,38.5,75.6,1003.6,4.8,34,626,5.5,0.456,3.16,0.1,94.5,Medium
69.1,30.3,66.4,1005,9.5,71.2,581,1.6,0.14,2.35,2.13,6.4,Medium
49.8,39,100,993.2,12,16.5,942,15.6,0.317,1.54,7.18,102.6,Medium
77.8,36,66.9,998.4,3.3,54.2,306,6.4,0.338,2.49,1.22,100.4,Medium
30.5,25.3,41.1,1010.3,4.8,36.2,775,21.3,0.84,3.44,3.4,19.7,Low
34.2,23.3,60.3,999.2,7.7,16.1,557,21.1,0.746,1.29,10.04,16.2,Low
36.4,19.9,58.6,1015,5.2,41.4,498,7.2,0.385,4.97,3.74,51.9,Low
87.4,14.2,66.9,1000,7.6,74.7,422,10.7,0.262,4.56,2.79,34.2,Medium
0,19.5,72.7,1022.6,13.6,15.1,0,10.4,0.935,3.84,0.1,133.9,Low
44.7,20.4,53.3,1024.1,14.4,70.4,457,3.7,0.469,5.11,5.09,61.5,Medium
37.8,11.5,66.9,1004.4,6.9,54.6,108,17.2,0.611,3.42,3.37,46.8,Low
18,42.6,84.1,1013.4,13.1,33.3,826,19.3,0.293,5.9,6.63,47.8,Low
128.4,37.6,47.9,1019,11.3,28.9,393,20.2,0.53,0.88,9.61,80,Medium
87.5,35,57,1030.4,8,37.3,460,12.4,1,1.66,2.79,109.4,Medium
0,27.3,72.2,1022.3,10.2,63.8,874,27.9,0.691,3.19,1.46,0,Medium
64,21.2,48.6,996.4,13.5,37.8,164,9.1,0.189,1.27,1.4,50.1,Medium
80.2,45.9,73,1003.7,6.8,36.8,244,0,0.31,2.48,4.14,82.6,Medium
3.4,32.4,84.9,1007.3,10.2,58.4,556,29.5,0.46,1.99,3.89,193.5,Medium
0,25.9,76.2,1008.5,17.5,45.9,279,0,0.37,2.79,4.74,99.1,Low
84,28.4,65.9,1011,10.8,34.8,302,25.8,0.285,4.15,2.43,127.6,Medium
28,26.5,82.7,993.4,1.9,66.3,999,9.3,0.567,0.58,16.31,99.3,Medium
138.4,33.5,63.9,1008.3,6.8,47.7,146,7.1,0.457,0.79,6.73,62.1,Low
21.4,33.7,76.8,1005.7,5.3,23.2,386,20,0.604,4.01,9.51,151.8,Medium
60,36,89.8,1016.4,3,74.8,0,10.6,0.594,0.52,9.64,73.5,Medium
26.6,27.4,69.6,1015.7,14.5,31.2,412,7.2,0.91,3.58,5.27,132.9,Low
0,10.5,69.3,1012.6,5.1,41.5,505,25,0.151,3.62,7.41,167.5,Low
125.6,36.6,65.7,1017.1,10.5,23,86,14.3,0.338,2.77,4.47,134.3,Medium
59.1,28.5,76.2,1023.5,3.2,26.4,11,34.6,0.633,2.31,3.58,38.5,Medium
68.6,12.5,79.2,1021.7,21,44.6,387,13.2,0.531,3.09,0.77,66.9,Medium
70.1,28,51.8,1009.8,15.3,47.8,411,14.1,0.73,3.12,4.85,87.7,Low
54,24.3,82.6,1013.9,2.7,38.2,295,15.1,0.279,3.05,5.49,84.9,Medium
57.4,22.3,85.5,998,1.7,66.7,166,20.8,0.86,0.92,14.17,7.2,Medium
35.2,45.3,80.2,1016,19.8,44.2,497,10.9,0.501,4.8,0.33,57.6,Low
97.6,37.5,84.5,1030.3,8.9,49,470,22.9,0.085,5.73,6.64,114.4,Medium
54.7,27.1,69.2,1017.9,7.8,81.2,0,0.5,0.579,3.45,0.74,143.3,Medium
2.6,26.2,72.6,991.1,16.4,11.7,523,30.6,0.414,0.2,4.09,32,Low
63,23.5,55.1,1005.1,12.7,55.2,735,29.9,0.561,5.6,15.1,65.6,Medium
88,29.2,87,1000,11.2,13.3,442,8,0.514,0,0.1,196.3,High
91.2,47.3,69.1,985.8,5.6,58.1,551,33.8,0.436,2.82,4.9,81.9,Medium
96.1,31.3,82.1,1007.8,0,24.6,263,37.3,0.172,3.35,4.64,158.9,High
24.4,25,80.2,1010.6,2.5,5,356,0,0.131,4.29,3.5,164.1,Low
90.3,15,64,1005.7,6.9,74.6,285,8.9,0.5,5.56,0.1,56.2,Medium
70.9,21.5,65.6,1000.2,4.8,86.5,317,21.3,0.55,1.99,5.49,22,Medium
30.8,24.8,78.3,1007.7,14.7,66.5,487,10.2,0.463,2.58,0.1,96.6,Medium
128.1,43.8,76.3,1011.3,15,16.1,983,34.5,0.69,1.51,8.5,26.8,Medium
54.5,36.6,75.1,1015.4,8,59.6,724,11.5,0.471,0.19,4.77,98.5,Medium
50.7,35.2,86.3,997.6,6.6,49.9,22,28.7,0.49,1.75,8.38,21.2,Medium
18.3,16.2,68.8,1019.5,8.9,42.4,238,24.8,0.558,2.89,4.66,22.8,Low
0,43,47.7,1012,10.8,65.9,83,10.8,0.28,5.44,2.94,119.5,Low
85.8,18.2,68,994.3,13.3,25.8,414,26.1,0.619,3.2,9.21,12.4,Medium
9.1,22.8,91.3,997.5,15.3,73.1,722,10.9,0.568,4.4,0.37,94,Medium
84.2,28.2,92.6,1016.7,8.4,53.5,344,0,0.612,4.11,0.1,64,Medium
11.3,38.3,69.9,1012.5,11.5,9.8,483,17.3,0.725,2.07,0.1,99.5,Low
125.8,24.6,53.4,1009.7,20.5,56.2,301,13,0.117,2.58,7.99,138,Medium
9.2,21.3,84,1008.6,4.4,42.9,158,9.8,0.628,5.9,0.1,131,Medium
26,31.1,67.7,1011.8,4.8,91.3,640,5.3,0.924,4.44,11.17,12.8,Low
10.7,28.1,59.2,1015.7,8.2,5,555,8.9,0.078,3.26,6.72,115,Low
0,34.4,62.9,1011.6,12.4,43.9,245,0,0.161,2.5,0.1,107.6,Low
0,42,77.6,1019.2,12,46,228,16.7,0.59,0.39,9.3,52.2,Low
26.5,26.3,75.9,1005.8,7.4,65.1,0,26.1,0.286,4.52,6,76.2,Medium
18.1,21.2,67.6,1010.4,5.9,72,910,0,0.824,0.63,3.23,0,Low
81.1,28.2,71.8,1000.2,15.2,42.1,602,21.7,0.576,1.77,6.85,25.2,Medium
30.3,11.4,86,991.4,7.1,37.1,64,38.4,0.422,2.06,11.19,119.2,Medium
26.4,16.5,67.5,1006.8,2.2,61.7,374,28.9,1,4.66,10.53,144.5,Medium
38.9,32.4,61.4,1018.5,0,51.5,635,12.1,0.498,1.52,0.72,92,Medium
41.7,22.5,67.6,1017.5,2.8,31,615,13.2,0.34,4.27,10.27,136.4,Low
75.6,40.6,64.4,1024.3,9.1,65.8,352,7.9,0.464,3.76,0.95,81.2,Medium
0,29.3,71.4,991.3,10.6,28.9,109,23,0.465,5.95,12,15.3,Low
97.7,34.8,51.4,1008.5,9.2,63,409,19.7,0.722,3.12,7.4,129.7,Medium
59.1,36.7,60.5,1009.7,12.5,60.6,410,1.7,0.338,1.84,7.57,185.5,Medium
29,30.5,91.9,1002.6,8,59.1,855,4.3,0.503,5.49,7.86,171.5,Medium
66.8,41.9,69.1,1011.8,8.7,55.9,674,5.5,0.224,4.1,3.29,75.4,Medium
0,27.3,96.7,1023.5,11.9,57.9,578,30.7,0.773,2.36,11.07,61.6,Medium
24.1,13.5,78.2,1017.2,0,58.6,832,18.5,0.531,1.41,5.43,44.6,Low
0,26,74.6,1002.4,11.5,15.1,862,0,0.315,2.58,13.6,99.6,Low
60,28.7,57.9,1030.3,5.6,57.7,0,17,0.432,4.08,6.9,50.3,Medium
92.6,19.9,54.8,1016.1,6.4,80.9,529,23.3,0.308,2.49,2.1,13.8,Medium
114.4,24,71.2,1012.9,16.4,61.3,744,0,0.12,4.07,1.12,91.7,Medium
80.6,29.3,58.7,995.8,2.4,27.1,483,0,0.49,2.99,0.1,37.1,Medium
56,35.5,42.4,1009.1,16.7,61.4,0,12.3,0.374,1.08,1.35,75.8,Medium
51.4,23.1,37,1004.9,7.8,79.3,300,2.7,0.943,2.93,3.2,216.3,Medium
3.7,24.4,87.5,1009.8,5.6,46.5,530,25.1,0.496,2.58,3.8,116.9,Medium
57.6,39.6,68.7,1014.4,9.2,74,379,25.2,0.815,3.28,6.58,116.1,Medium
24,30.4,73.4,1012.2,2.3,55.6,633,0.5,0.441,0.26,9.07,0,Low
17.7,27,73,1009,11.1,51,359,11.8,0.582,3.25,3.59,0,Low
0,24,64.2,1009.4,12.3,28.9,277,15.5,0.386,2.51,9.79,63.1,Low
82.8,26.1,79.9,994.5,4,62.6,817,13.5,0.725,0.43,5.75,73.2,Medium
0,32.6,79.6,1014.1,5.7,47.6,762,7.2,1,1.22,2.76,83.5,Low
75.7,34.2,58.4,1013.2,4.6,29.6,284,4.5,0.586,2.66,7.02,178.8,Low
0,13.1,58.3,1020.6,3,44.9,492,0,0.32,1.07,7.48,60.1,Low
72.6,21.8,75.4,1019.4,4.8,42,336,15.1,0.353,4.27,1.43,38.6,Medium
69.7,12.6,71.2,1002.4,5.6,74.1,390,15.4,0.335,1.79,2.23,136.4,High
19.1,26,85.9,1000.4,5.6,70.8,593,18.7,0.943,4.51,6.85,132.1,High
70.3,22.9,45.9,1023.2,11.3,57.3,392,20.2,0.167,3.08,1.32,64.1,Medium
59.2,35.3,84.7,1007.4,7.1,45.2,448,28.8,0.208,3.09,9.91,154.7,Medium
120.6,17.1,38.7,1021.3,4.7,36.9,466,12.7,0.367,3.87,0.1,47,Medium
76.1,21.6,90.7,1013.3,7.8,43,895,22.5,0.361,2.67,2.61,76.3,Medium
0,23.8,67,1017.3,4.4,70.5,80,0,0.49,4.1,0.47,108.7,Low
0,36.5,66.1,1027.4,10.6,27.3,147,37,0.313,3.87,3.86,20.6,Low
18.1,30.6,68.3,1009,17.5,52.5,0,9.9,0.417,2.11,4.06,82.5,Low
114.9,24.3,80,997,11.8,68.1,189,0,0.396,4,3.18,234.1,Medium
0,11.4,67.2,1011.4,8.6,45,353,23.2,0.497,5.38,1.49,90.6,Low
88,24,74.8,1006.9,17.9,53.5,1127,8.8,0.225,2.88,4.46,0,Medium
0,31.6,79.3,1002.6,8.8,62,1,39.2,0.199,4.65,7.66,32.4,Medium
25.3,11.9,94.3,1014.9,4.8,75.5,283,3.5,0.677,2.81,3.46,144.6,Medium
10,27.2,80.7,1027.1,8,54.5,556,4.9,0.623,5.29,6.74,146.5,Low
29.6,28,61.7,1026,8.7,100,113,3.5,0.382,2.07,3.87,8.8,Low
39.2,34.1,76.5,1001.5,11.2,42.3,363,31.3,0.58,1.98,2.91,47.1,Medium
58.6,23.2,79.5,1005.8,0,35.5,210,0,0.268,1.54,5.55,90.8,Medium
41,23.3,61.1,1011.6,15.8,67.7,147,23.5,0.414,4.36,5.28,64.5,Medium
61.6,26.3,75.3,1003.1,6.5,70.1,126,14.9,0.105,3.15,8.22,117.8,Medium
53.3,38.3,81.5,1005.8,11.2,38,481,24.3,0.225,3.49,6.35,162.5,Medium
16.7,21.9,96.7,1000,3.5,51.8,339,17.8,0.58,3.65,4.15,50.5,Medium
15.7,30.9,99.9,1018,10.4,74.3,160,10.5,0.334,0.22,9.99,77.9,Medium
0,27.4,55,996.8,9.8,5,720,12.2,0.735,3.52,4.24,56.8,Low
59.1,32.2,83.3,1016.2,12.4,63.8,272,18.6,0.472,5.15,0.1,129.2,High
7.1,34.1,49,989.7,17.3,45.1,404,23.7,0.613,3.66,2,0,Low
18.1,32.1,74.8,1004.6,1.3,64.7,131,4.7,0.464,1.36,14.46,70.5,Medium
149.3,15.5,95,1000.1,0,100,593,27.3,0.772,3.34,3.26,68.4,High
35.9,50,53,986.6,5.6,45.2,257,0.9,0.722,3.59,0.1,35.4,Low
72.1,30.1,80.2,1005.3,5.1,9.4,179,6.6,0.769,0.21,0.1,74.3,Medium
51.5,23.5,76.8,1010.5,4.7,44.1,807,23,0.307,4.12,6.44,35.4,Low
0,31.2,83.6,1009.5,9.8,48.1,433,15.4,0.645,3.55,5.29,129.5,Medium
0,20.7,70.1,1000.5,9.1,5,144,8,0.553,4.17,9.84,124.7,Medium
20.1,32.9,36.6,1003.1,9.4,60.2,204,7.3,0.692,5.02,3.36,106.1,Low
98.3,29,73.5,996.9,21,51.1,0,4.1,0.446,3.47,2.22,74.7,Medium
39.5,35.1,70,1002.7,0.4,35,187,44.7,0.591,1.63,2.76,20.9,Medium
0,32.8,92.3,1004.3,3.5,34.2,453,20.3,0.305,2.06,8.55,85.7,Medium
51.4,35,67.9,1001.3,12.3,29.6,427,6.7,0.242,2.98,5.88,109.2,Medium
28.9,36.6,66.1,1020.2,10,65.9,327,16.6,0.577,0.46,3.12,30.8,Low
0,32.6,98,998.8,1.8,71.5,288,0,0.739,4.82,0.1,64.9,Medium
94.5,24,81.5,1017,9.2,38.1,371,0.2,0.392,2.39,5.49,41.2,Low
23.3,47.2,67.6,1004.5,4.4,34.6,169,7.7,0.525,1.86,0.1,85.7,Low
34,15.2,67.4,1018.2,11,24.5,140,27.6,0.868,3.08,6.51,101.2,Low
127,33.7,81.5,1007.1,2.1,41.6,186,20.1,0.498,2.62,1.76,84.5,Medium
18.7,33,73.6,1019,7.3,62.6,0,14,0.328,4.52,0.28,54,Medium
72.1,30,68.3,1013,15.7,62.3,87,3.3,0.524,4.2,10.5,44.4,Low
12.4,22.9,51.7,1017.8,16.3,27.1,781,33.7,0.581,3.55,4.87,0,Low
20.6,13.9,54.1,1027.2,15.1,88.5,0,17,0.708,1.3,4.57,83,Medium
0,30.4,46.2,1025.7,8.3,24.3,764,18.3,0.586,0,3.39,57.6,Low
50.8,28.8,63.6,1013.7,7.2,53,1111,19.6,0,1.23,6.22,38,Low
32.3,12,56.3,1017.4,1.3,14.3,673,3.9,0.217,3.26,0.84,140.1,Medium
76.8,28.6,49.2,1010.2,15.4,67.8,843,29.7,0.58,6.47,2.49,9.6,Low
19.5,20.6,86.1,1004,3.9,28.8,53,36.4,0.115,3.45,5.41,84.6,Medium
40,41.9,67.7,1027.2,1.2,57.9,606,4.6,0.44,4.98,5.86,77,Low
71.1,25.7,72.6,1017.1,23.4,85,625,4,0.018,3.22,9.4,35.5,Medium
88.3,21.3,61,1022.5,8,88.1,136,21.9,0.704,3.27,7.39,133.3,Medium
15.2,38.9,87.7,1022.4,4.7,85.5,279,29.1,0.187,4.24,2.44,127,Medium
35.7,29,95.6,1010.5,9.6,36.5,17,17.2,0.269,2.03,12.55,136.4,Medium
6.1,37.7,62.6,1018.5,5.5,60.8,328,31.4,0.615,2.29,4.48,0,Low
21,28.6,57.5,1027.3,2.4,51,141,15.2,0.939,1.54,8.2,73.2,Medium
30.2,26.6,57.5,1000.1,4.9,33.3,799,26.2,0.416,3.57,4.14,147.4,Medium
68.7,31.6,64.2,1029.7,3.1,38.1,0,5.9,0.602,3.32,13.73,74.7,Low
24.5,21.9,57.4,1009.2,14.8,32.9,558,8.8,0.374,1.88,5.17,19.5,Low
54.4,41.6,61.4,1022.6,0,53.7,578,8.5,0.199,1.94,6.39,51.3,Low
42.9,36.1,47,1010.6,1.7,54.2,132,11.8,0.392,3.18,12.83,118.7,Low
35.4,24.6,90.9,1010.8,6.7,13.1,629,34.7,0.558,1,6.38,0,Medium
0.2,31.5,70.4,999.3,12.6,35.3,599,11,0.426,1.05,5.99,0,Low
36.9,24.5,74,1010.4,17.8,74.1,645,27.8,0.659,2.48,5.96,78.4,Medium
91.4,24.5,32.3,1007.7,10.3,41.2,0,0,0.015,1.94,2.31,143.2,Medium
35,31.1,58.7,1001.3,4.7,35.8,187,13.5,0.426,4.91,0.86,109.8,Medium
83.6,34.9,52.8,1028.4,4.1,52.6,292,5.6,0.339,2.46,5.24,98.3,Medium
88.7,23.8,70.3,1030.1,5.7,86.8,709,0,0.247,2.24,0.1,122,High
42.9,21.6,67,1007.8,7.6,26.1,576,23.7,0.388,2.48,11.28,111.2,Medium
9.1,27.2,85,1012.8,13.4,33.3,553,7.6,0.74,3.16,7.21,147.1,Low
68,33.6,72.7,991.4,0,5.4,107,25.6,0.618,2.19,0.1,101.2,Medium
46.9,29.3,86.4,1008.9,12.2,35.2,867,0,0.564,3.61,9.82,0,Medium
96.2,40.9,68.5,1001.6,9,14.3,1063,16.7,0.768,2.78,2.84,83.4,Medium
35.6,37.3,84.7,1001.3,4.1,32.6,399,28,0.477,3.79,0.92,10.3,Medium
0,20.8,75.5,1006.2,4.7,57.9,0,3.4,0.813,3.28,3.29,0,Low
6.9,27.9,96.6,1006.6,12,77.9,327,20.7,0.629,0,0.4,166,High
0,22.2,80.7,1006.4,11.4,80.3,470,23.1,0.645,1.64,6.42,101.1,Medium
38.2,34.8,81.7,996.3,8.3,23,121,9.9,0,0.8,6.89,18.3,Low
0.7,33.7,69.5,1005.3,13.5,57,517,32.6,0.597,3.19,2.75,99,Low
74.6,25.8,59.9,1014,7.2,43.3,358,9,0.579,3.59,2.27,64.5,Low
0,34,58.1,1023,14.2,91,0,4.9,0.24,3.01,8.43,69.1,Low
27.6,35.3,46.6,1003,7.8,82.6,478,13.8,0.594,2.52,2.11,15,Low
48.7,12,51.1,1001.8,4.3,65.1,295,11.3,0.469,1.75,7.44,100.5,Medium
51.8,13.6,63.1,1024.1,18.3,27.9,109,25.3,0.45,2.82,5.21,47.7,Low
0,28.8,58.4,1018.4,6,44.3,965,3.5,0.545,3.44,6.78,0,Low
112.4,24,56.4,1000.2,8.5,29.3,1090,0.6,0.511,2.3,5.51,0,Medium
23.3,10.7,76.5,994.6,15.6,82.1,0,18.7,0.394,3.15,8.66,106.5,Medium
128.3,26,69.1,1012.6,11.3,55.3,838,31,0.858,3.8,4.81,15.9,Medium
0,13.5,73.8,1016.5,12.2,37.6,329,16.3,0.564,2.9,5.02,146.5,Medium
0,19.5,69,1000.2,6.6,82.3,402,6.3,0.334,1.42,3.17,102.5,Low
33.1,18.9,62.6,1019.7,8.7,93.6,0,28.6,0.724,0,8.55,43.9,Low
43.6,27.3,52.5,991.8,11.7,48.6,157,19.3,0.51,1.79,7.91,184.4,Medium
45.8,25.6,75.3,1020.7,8.8,9.5,751,19.3,0.401,2.87,9.66,94.5,Medium
0,40.1,55,1009.1,10.3,42.2,450,14.5,0.441,4.11,3.69,40.6,Low
